scenario_id,district_index,district,region,unit_system,reachable_count,reachable_codes,portfolio_mask,portfolio_size,portfolio_codes,status,course_status,prerequisite_status,schedule_status,role_attribution_status,course_result_quality,schedule_result_quality,distinct_courses,major_course_count,prerequisite_course_count,colleges_used,semester_equiv_units,min_terms,lower_bound_terms,upper_bound_terms,academic_years,exact_only_overlap_savings_courses,bounded_sensitivity_overlap_savings_courses,computation_elapsed_ms
4:6,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,6,2,UCR|UCB,bounded,bounded,complete,optimal,optimal,bounded,bounded,13,13,0,1,53,5,5,5,2.5,,5,6007
4:10,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,10,2,UCR|UCD,optimal,optimal,complete,optimal,optimal,exact,exact,10,10,0,1,43,4,4,4,2,7,7,30
4:12,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,12,2,UCB|UCD,optimal,optimal,complete,optimal,optimal,exact,exact,15,15,0,1,62,5,5,5,2.5,4,4,2492
4:34,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,34,2,UCR|UCI,optimal,optimal,complete,optimal,optimal,exact,exact,8,8,0,1,35,3,3,3,1.5,5,5,23
4:36,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,36,2,UCB|UCI,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,54,5,5,5,2.5,2,2,3927
4:40,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,40,2,UCD|UCI,optimal,optimal,complete,optimal,optimal,exact,exact,9,9,0,1,38,4,4,4,2,5,5,6
4:66,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,66,2,UCR|UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,10,10,0,1,42,5,5,5,2.5,7,7,6
4:68,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,68,2,UCB|UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,14,13,1,1,58,5,5,5,2.5,5,5,603
4:72,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,72,2,UCD|UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,10,10,0,1,41,5,5,5,2.5,8,8,9
4:96,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,96,2,UCI|UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,9,8,1,1,37,5,5,5,2.5,5,5,7
4:130,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,130,2,UCR|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,8,8,0,1,35,3,3,3,1.5,6,6,7
4:132,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,132,2,UCB|UCSC,bounded,bounded,complete,optimal,optimal,bounded,bounded,14,13,1,1,58,5,5,5,2.5,,2,5419
4:136,4,Cabrillo Community College District,Bay Area,semester,7,UCR|UCB|UCD|UCI|UCSB|UCSC|UCM,136,2,UCD|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,9,9,0,1,38,4,4,4,2,6,6,5
